ship_mode,segment,country,city,state,Postal_Code,region,category,sub_category, Sales ,Quantity,Discount,Profit
First Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Binders, 2.74 ,2,70%,-2.0108
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories, 79.51 ,3,20%,20.8719
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Office Supplies,Paper, 28.35 ,1,20%,9.5688
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Furniture,Chairs, 40.78 ,1,20%,4.5882
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Office Supplies,Appliances, 105.96 ,4,0%,29.6688
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Paper, 166.44 ,3,0%,79.8912
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Furniture,Chairs, 785.88 ,6,0%,212.1876
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Paper, 26.20 ,2,0%,12.838
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Storage," 1,325.85 ",5,0%,238.653
Same Day,Consumer,United States,San Diego,California,92024,West,Office Supplies,Paper, 166.44 ,3,0%,79.8912
Standard Class,Consumer,United States,Asheville,North Carolina,28806,South,Office Supplies,Art, 8.76 ,5,20%,0.7665
Standard Class,Consumer,United States,Asheville,North Carolina,28806,South,Office Supplies,Appliances, 43.58 ,1,20%,4.3584
Same Day,Consumer,United States,Pueblo,Colorado,81001,West,Office Supplies,Binders, 11.09 ,7,70%,-8.1312
Same Day,Consumer,United States,Pueblo,Colorado,81001,West,Office Supplies,Binders, 25.16 ,2,70%,-16.776
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders, 14.40 ,5,0%,7.056
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Accessories, 619.95 ,5,0%,111.591
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders, 89.52 ,4,0%,42.0744
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Machines, 350.97 ,3,10%,152.0883
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Phones, 164.99 ,1,0%,49.497
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders, 312.55 ,9,20%,101.5794
Standard Class,Consumer,United States,Thomasville,North Carolina,27360,South,Office Supplies,Envelopes, 95.95 ,3,20%,29.985
Standard Class,Consumer,United States,Thomasville,North Carolina,27360,South,Office Supplies,Binders, 3.20 ,2,70%,-2.4564
First Class,Consumer,United States,Peoria,Illinois,61604,Central,Office Supplies,Binders, 3.98 ,5,80%,-6.567
First Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Paper, 15.70 ,5,0%,7.065
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Art, 5.25 ,4,20%,1.64
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders, 5.35 ,3,70%,-4.455
Standard Class,Consumer,United States,Englewood,Colorado,80112,West,Office Supplies,Paper, 15.48 ,3,20%,5.6115
Standard Class,Consumer,United States,Englewood,Colorado,80112,West,Technology,Phones, 108.58 ,3,20%,8.1432
Standard Class,Corporate,United States,Seattle,Washington,98115,West,Furniture,Furnishings, 109.90 ,5,0%,37.366
Standard Class,Consumer,United States,Hialeah,Florida,33012,South,Furniture,Furnishings, 15.38 ,1,20%,4.0383
First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Paper, 30.35 ,2,20%,10.6232
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Machines, 821.30 ,4,50%,-16.426
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Machines," 22,638.48 ",6,50%,-1811.0784
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper, 21.38 ,4,20%,7.4816
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Office Supplies,Art, 8.02 ,3,20%,1.002
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Furniture,Furnishings, 30.77 ,2,20%,8.0766
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Office Supplies,Fasteners, 18.94 ,3,20%,5.9175
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Furniture,Furnishings, 122.35 ,3,20%,15.294
Standard Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper, 116.28 ,3,0%,56.9772
Second Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories, 132.60 ,6,0%,17.238
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Supplies, 16.68 ,2,0%,4.3368
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Paper, 19.44 ,3,0%,9.3312
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Paper, 192.16 ,4,0%,92.2368
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Furnishings, 227.36 ,7,0%,81.8496
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Machines," 1,919.98 ",3,20%,215.9973
Standard Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders, 12.83 ,2,70%,-8.9796
First Class,Corporate,United States,Lakewood,Ohio,44107,East,Furniture,Furnishings, 45.89 ,4,20%,9.1776
Second Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art, 60.12 ,9,0%,22.2444
Standard Class,Consumer,United States,Wilmington,North Carolina,28403,South,Technology,Phones, 302.38 ,3,20%,37.797
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art, 13.90 ,5,0%,5.56
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones, 129.98 ,2,0%,62.3904
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Technology,Accessories, 71.98 ,2,0%,15.1158
Standard Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones, 377.97 ,3,0%,109.6113
Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Office Supplies,Storage, 124.36 ,2,0%,33.5772
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings, 23.98 ,3,60%,-14.3856
Second Class,Corporate,United States,Cary,North Carolina,27511,South,Office Supplies,Fasteners, 8.38 ,3,20%,2.7222
Second Class,Corporate,United States,Cary,North Carolina,27511,South,Office Supplies,Appliances, 58.24 ,5,20%,5.096
Second Class,Consumer,United States,Alexandria,Virginia,22304,South,Office Supplies,Storage, 81.20 ,5,0%,12.18
Standard Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Labels, 14.45 ,5,0%,6.7915
Standard Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Binders, 95.65 ,2,20%,31.0856
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Phones, 359.97 ,5,40%,-71.994
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Tables, 350.35 ,4,40%,-140.1408
First Class,Consumer,United States,Toledo,Ohio,43615,East,Office Supplies,Binders, 1.64 ,1,70%,-1.3128
First Class,Consumer,United States,Toledo,Ohio,43615,East,Technology,Phones, 629.96 ,7,40%,94.4937
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Art, 6.63 ,3,0%,1.7901
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Accessories, 799.96 ,4,0%,343.9828
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Furnishings, 107.53 ,1,0%,21.506
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Technology,Phones, 73.98 ,2,0%,19.9746
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Art, 5.58 ,1,0%,2.1762
Second Class,Consumer,United States,Las Cruces,New Mexico,88001,West,Office Supplies,Paper, 49.12 ,4,0%,23.0864
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones, 377.97 ,3,0%,94.4925
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper, 42.28 ,7,0%,19.8716
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Furniture,Bookcases, 299.97 ,3,0%,56.9943
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones, 89.98 ,2,0%,43.1904
First Class,Corporate,United States,Hoover,Alabama,35244,South,Office Supplies,Supplies, 477.24 ,4,0%,9.5448
First Class,Corporate,United States,Hoover,Alabama,35244,South,Technology,Accessories, 25.98 ,2,0%,1.5588
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Envelopes, 46.72 ,5,20%,17.52
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Furnishings, 35.34 ,2,0%,13.4292
Second Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Furnishings, 257.64 ,6,0%,100.4796
Second Class,Corporate,United States,San Francisco,California,94122,West,Technology,Phones, 125.98 ,3,20%,47.241
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Accessories, 79.99 ,1,20%,21.9978
Standard Class,Consumer,United States,Franklin,Massachusetts,2038,East,Furniture,Tables, 700.06 ,3,30%,-130.0104
Standard Class,Home Office,United States,Frisco,Texas,75034,Central,Technology,Accessories, 27.17 ,4,20%,-1.3584
Standard Class,Consumer,United States,Tallahassee,Florida,32303,South,Office Supplies,Binders, 8.23 ,3,70%,-6.0324
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs, 585.55 ,3,20%,73.194
Second Class,Consumer,United States,Vacaville,California,95687,West,Office Supplies,Storage, 423.28 ,11,0%,110.0528
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Furniture,Chairs, 225.30 ,2,20%,22.5296
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art, 5.56 ,2,0%,2.224
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Accessories, 323.37 ,3,0%,129.348
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones, 783.96 ,5,20%,68.5965
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances," 1,447.65 ",5,0%,419.8185
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper, 11.96 ,2,0%,5.8604
Second Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories, 239.97 ,3,0%,71.991
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Furnishings, 76.92 ,4,0%,31.5372
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Storage, 481.32 ,4,0%,125.1432
First Class,Home Office,United States,Murray,Utah,84107,West,Office Supplies,Paper, 48.40 ,5,0%,23.232
First Class,Home Office,United States,San Francisco,California,94110,West,Technology,Accessories, 0.99 ,1,0%,0.4356
First Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Binders, 101.84 ,5,20%,36.917
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders, 10.33 ,3,70%,-7.5768
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders, 31.16 ,5,70%,-23.8855
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage, 8.93 ,2,20%,0.6696
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances, 34.38 ,1,20%,3.8682
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances," 1,924.16 ",8,20%,312.676
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances, 32.19 ,2,80%,-80.48
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories, 50.12 ,7,20%,-0.6265
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories, 47.98 ,3,20%,1.7991
Standard Class,Consumer,United States,Waukesha,Wisconsin,53186,Central,Office Supplies,Storage, 54.50 ,5,0%,14.17
First Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Furnishings, 19.10 ,3,20%,5.7312
Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,Binders, 49.44 ,3,0%,24.2256
Standard Class,Home Office,United States,Springfield,Ohio,45503,East,Office Supplies,Paper, 10.37 ,2,20%,3.6288
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Storage, 154.44 ,3,0%,1.5444
Standard Class,Corporate,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Appliances, 60.98 ,7,20%,4.5738
Second Class,Consumer,United States,Bakersfield,California,93309,West,Furniture,Bookcases, 195.47 ,2,15%,-13.7976
Standard Class,Corporate,United States,Pompano Beach,Florida,33068,South,Furniture,Furnishings, 23.68 ,8,20%,6.216
Standard Class,Corporate,United States,Pompano Beach,Florida,33068,South,Technology,Accessories, 2.38 ,3,20%,0.7425
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Labels, 59.20 ,4,0%,29.6
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Art, 22.00 ,10,0%,9.68
Standard Class,Consumer,United States,Detroit,Michigan,48234,Central,Technology,Phones, 257.98 ,2,0%,74.8142
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones, 23.99 ,2,40%,-15.992
Standard Class,Corporate,United States,Troy,Ohio,45373,East,Technology,Phones, 23.98 ,4,40%,-15.5844
First Class,Home Office,United States,Los Angeles,California,90036,West,Furniture,Chairs, 601.54 ,4,20%,0
First Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Fasteners, 7.90 ,2,0%,2.528
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Furniture,Furnishings, 58.36 ,5,60%,-24.803
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Office Supplies,Art, 16.46 ,7,20%,1.4406
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Furniture,Furnishings, 39.96 ,5,60%,-23.976
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Appliances, 25.96 ,2,0%,7.5284
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Appliances, 36.27 ,3,0%,10.881
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Paper, 6.48 ,1,0%,3.1104
Standard Class,Corporate,United States,Redondo Beach,California,90278,West,Technology,Phones," 1,075.09 ",14,20%,94.0702
Standard Class,Corporate,United States,Redondo Beach,California,90278,West,Technology,Phones, 438.37 ,4,20%,38.3572
Standard Class,Corporate,United States,Redondo Beach,California,90278,West,Office Supplies,Binders, 18.09 ,7,20%,6.5569
Standard Class,Corporate,United States,Redondo Beach,California,90278,West,Furniture,Bookcases, 308.50 ,3,15%,-18.147
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,South,Office Supplies,Art, 13.36 ,4,0%,4.1416
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,South,Office Supplies,Paper, 39.96 ,2,0%,18.7812
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,South,Office Supplies,Binders, 145.85 ,5,0%,70.008
First Class,Corporate,United States,Miami,Florida,33180,South,Technology,Phones, 783.96 ,5,20%,78.396
First Class,Consumer,United States,Salem,Oregon,97301,West,Office Supplies,Art, 7.88 ,1,20%,1.773
Standard Class,Consumer,United States,Las Cruces,New Mexico,88001,West,Furniture,Furnishings, 41.37 ,3,0%,17.3754
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper, 12.84 ,3,0%,5.778
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper, 25.68 ,6,0%,11.556
Standard Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Chairs, 47.52 ,2,30%,-2.0364
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Fasteners, 9.42 ,2,0%,0.471
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper, 12.96 ,2,0%,6.2208
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Bookcases, 704.90 ,5,0%,56.392
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs, 561.57 ,2,20%,28.0784
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Paper, 179.82 ,9,0%,84.5154
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings, 185.58 ,6,0%,76.0878
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables, 214.11 ,3,0%,36.3987
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Technology,Accessories, 999.96 ,4,0%,229.9908
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables, 653.55 ,3,0%,111.1035
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Office Supplies,Binders, 114.60 ,5,0%,51.57
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Chairs, 60.74 ,1,0%,15.185
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Furnishings, 124.36 ,2,0%,27.3592
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Office Supplies,Storage," 1,088.76 ",6,0%,315.7404
First Class,Consumer,United States,Encinitas,California,92024,West,Office Supplies,Binders, 6.72 ,5,20%,2.352
First Class,Consumer,United States,Encinitas,California,92024,West,Furniture,Tables, 298.78 ,3,20%,7.4694
Standard Class,Consumer,United States,Anaheim,California,92804,West,Technology,Phones, 302.38 ,3,20%,22.6782
First Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Art, 8.93 ,2,20%,0.558
First Class,Consumer,United States,Arlington,Texas,76017,Central,Office Supplies,Storage, 47.58 ,2,20%,-2.974
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Paper, 33.79 ,8,20%,10.56
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases, 300.53 ,2,32%,-97.2312
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Binders, 2.72 ,2,80%,-4.3584
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes, 3.26 ,2,20%,1.1016
First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Paper, 108.34 ,6,20%,37.9176
First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Storage, 55.92 ,5,20%,6.291
First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Paper, 78.30 ,2,20%,29.364
Standard Class,Consumer,United States,Portland,Oregon,97206,West,Office Supplies,Storage, 443.92 ,5,20%,-94.333
Standard Class,Consumer,United States,Portland,Oregon,97206,West,Technology,Phones, 155.98 ,3,20%,54.5916
Second Class,Corporate,United States,Hoover,Alabama,35244,South,Office Supplies,Art, 15.47 ,7,0%,4.1769
Second Class,Corporate,United States,Hoover,Alabama,35244,South,Office Supplies,Binders, 7.16 ,2,0%,3.4368
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Appliances, 10.89 ,1,0%,2.8314
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper, 19.44 ,3,0%,9.3312
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Binders, 121.60 ,5,20%,39.52
First Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Machines, 695.70 ,2,50%,-27.828
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage, 120.33 ,1,0%,31.2858
Standard Class,Home Office,United States,Chesapeake,Virginia,23320,South,Furniture,Chairs," 1,139.92 ",4,0%,284.98
Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Paper, 229.54 ,7,20%,83.2097
Standard Class,Consumer,United States,Huntsville,Texas,77340,Central,Office Supplies,Storage, 143.73 ,2,20%,-32.3388
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,Accessories, 36.05 ,3,20%,-0.9012
Standard Class,Corporate,United States,Woodstock,Illinois,60098,Central,Furniture,Chairs, 845.49 ,8,30%,-12.0784
First Class,Consumer,United States,Everett,Massachusetts,2149,East,Office Supplies,Art, 50.94 ,3,0%,14.2632
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders, 762.59 ,3,80%,-1143.891
Standard Class,Corporate,United States,Roswell,Georgia,30076,South,Furniture,Furnishings, 56.28 ,6,0%,15.7584
Standard Class,Corporate,United States,Roswell,Georgia,30076,South,Office Supplies,Binders," 2,690.97 ",3,0%,1264.7559
Standard Class,Corporate,United States,Palm Coast,Florida,32137,South,Office Supplies,Binders, 7.43 ,6,70%,-5.6994
First Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage, 64.78 ,1,20%,-12.9568
Standard Class,Home Office,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper, 28.16 ,4,0%,13.2352
Second Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Furnishings, 14.98 ,1,0%,6.8908
Second Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Furnishings, 20.32 ,4,0%,6.9088
Same Day,Corporate,United States,Franklin,Massachusetts,2038,East,Office Supplies,Storage, 40.29 ,3,0%,10.4754
Standard Class,Consumer,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Labels, 20.23 ,7,0%,9.5081
First Class,Corporate,United States,San Diego,California,92037,West,Furniture,Chairs," 1,603.14 ",4,20%,100.196
Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Chairs, 225.30 ,2,20%,22.5296
Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Technology,Accessories, 67.80 ,4,0%,4.068
Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Technology,Phones, 377.97 ,3,0%,98.2722
Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Furniture,Bookcases," 1,628.82 ",9,0%,374.6286
Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Paper, 286.93 ,7,0%,140.5957
Standard Class,Consumer,United States,Orlando,Florida,32839,South,Office Supplies,Paper, 20.74 ,4,20%,7.2576
Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage, 31.44 ,3,0%,8.4888
Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances, 83.79 ,7,0%,22.6233
Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art, 59.52 ,3,0%,15.4752
Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Supplies, 31.92 ,4,0%,9.2568
Second Class,Consumer,United States,Toledo,Ohio,43615,East,Office Supplies,Supplies, 14.72 ,5,20%,-3.312
Second Class,Consumer,United States,Toledo,Ohio,43615,East,Office Supplies,Storage, 38.98 ,3,20%,-2.436
Standard Class,Consumer,United States,Saint Petersburg,Florida,33710,South,Furniture,Furnishings, 17.09 ,2,20%,1.068
Standard Class,Corporate,United States,Tucson,Arizona,85705,West,Office Supplies,Paper, 74.35 ,3,20%,23.235
Standard Class,Corporate,United States,Tucson,Arizona,85705,West,Furniture,Chairs, 314.35 ,3,20%,-35.3646
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Art, 4.26 ,1,0%,1.7466
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Storage, 811.28 ,8,0%,24.3384
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Fasteners, 6.03 ,3,0%,2.9547
Second Class,Consumer,United States,San Diego,California,92037,West,Furniture,Chairs, 153.57 ,2,20%,-5.7588
Second Class,Consumer,United States,San Diego,California,92037,West,Furniture,Chairs," 1,013.49 ",7,20%,76.0116
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Envelopes, 52.34 ,2,0%,24.5998
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Art, 4.66 ,2,0%,1.3514
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Technology,Accessories, 254.97 ,3,0%,91.7892
Second Class,Home Office,United States,Orange,New Jersey,7050,East,Office Supplies,Binders, 25.44 ,6,0%,12.72
Second Class,Home Office,United States,Orange,New Jersey,7050,East,Office Supplies,Supplies, 27.93 ,3,0%,8.0997
Standard Class,Consumer,United States,Woodstock,Illinois,60098,Central,Office Supplies,Binders, 8.85 ,5,80%,-13.7175
Second Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Furnishings, 6.96 ,4,0%,2.2272
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders, 17.46 ,2,20%,5.8914
Standard Class,Consumer,United States,Tempe,Arizona,85281,West,Furniture,Chairs, 307.92 ,5,20%,-34.641
First Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Art, 6.63 ,3,0%,1.7901
First Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper, 12.96 ,2,0%,6.2208
First Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper, 32.40 ,5,0%,15.552
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Paper, 23.85 ,5,0%,10.7325
Second Class,Consumer,United States,Lake Charles,Louisiana,70601,South,Furniture,Chairs, 51.96 ,2,0%,12.99
Second Class,Consumer,United States,Lake Charles,Louisiana,70601,South,Office Supplies,Binders, 17.94 ,3,0%,8.6112
Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper, 11.56 ,2,0%,5.6644
Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper, 26.40 ,5,0%,11.88
Standard Class,Corporate,United States,Rochester,New York,14609,East,Furniture,Furnishings, 69.08 ,11,0%,29.0136
Standard Class,Corporate,United States,Rochester,New York,14609,East,Technology,Phones, 35.88 ,3,0%,10.0464
Standard Class,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Art, 49.65 ,5,0%,20.853
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Technology,Copiers, 959.97 ,4,20%,119.996
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Chairs, 408.42 ,2,30%,-5.8346
Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Copiers, 479.98 ,2,20%,59.998
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Labels, 12.60 ,4,0%,6.048
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Paper, 184.66 ,7,0%,84.9436
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper, 23.12 ,5,20%,8.381
Standard Class,Corporate,United States,Highland Park,Illinois,60035,Central,Office Supplies,Paper, 37.46 ,7,20%,12.1758
Standard Class,Corporate,United States,Highland Park,Illinois,60035,Central,Furniture,Chairs, 539.66 ,3,30%,-7.7094
Standard Class,Home Office,United States,Seattle,Washington,98115,West,Office Supplies,Storage, 310.12 ,2,0%,80.6312
Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Paper, 8.56 ,2,0%,3.852
Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Storage, 52.40 ,5,0%,14.148
Standard Class,Consumer,United States,Eagan,Minnesota,55122,Central,Office Supplies,Labels, 14.94 ,3,0%,6.8724
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Fasteners, 11.22 ,3,0%,0.2244
Standard Class,Consumer,United States,Coral Springs,Florida,33065,South,Office Supplies,Appliances, 387.14 ,4,20%,24.196
Standard Class,Consumer,United States,Hempstead,New York,11550,East,Office Supplies,Envelopes, 41.40 ,5,0%,19.458
